sync1,async1,async2,async3,collaborated
0.0,0.1111111111111111,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.04166666666666666,0.225,0.0,0.0
0.0,0.1138888888888889,0.1111111111111111,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.0,0.1,0.1,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.1361111111111111,0.1,0.0,0.0
0.0,0.325,0.0,0.0,0.0
0.0,0.1111111111111111,0.1,0.0,0.0
0.0,0.125,0.1,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.1,0.013888888888888895,0.1111111111111111,0.0,0.0
0.0,0.33611111111111114,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.16666666666666666,0.0,0.1,0.0
0.0,0.16666666666666666,0.0,0.1,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.1,0.1,0.0,0.0
0.0,0.06944444444444448,0.26666666666666666,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.1,0.1,0.0,0.0
0.1,0.125,0.0,0.0,0.0
0.0,0.05555555555555555,0.0111111111111111,0.1,0.0
0.0,0.08611111111111111,0.013888888888888895,0.1111111111111111,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.1,0.125,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.1,0.1,0.1,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.0888888888888889,0.1111111111111111,0.0,0.0
0.1,0.04166666666666666,0.125,0.0,0.0
0.1,0.125,0.0,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.05555555555555555,0.1111111111111111,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.0,0.024999999999999994,0.1,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.125,0.1,0.0,0.0
0.0,0.125,0.1,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.2,0.0,0.0,0.0
0.0,0.125,0.1,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.1,0.0,0.225,0.0,0.0
0.0,0.05555555555555555,0.2111111111111111,0.0,0.0
0.0,0.1,0.024999999999999994,0.1,0.0
0.0,0.0,0.16666666666666666,0.0,0.0
0.0,0.17777777777777778,0.0,0.1,0.0
0.0,0.1138888888888889,0.0,0.1111111111111111,0.0
0.0,0.013888888888888895,0.1111111111111111,0.0,0.0
0.0,0.2,0.125,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.036111111111111094,0.0888888888888889,0.1111111111111111,0.0
0.0,0.2,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.125,0.0111111111111111,0.1,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.0,0.1,0.1,0.0,0.0
0.0,0.1361111111111111,0.1,0.0,0.0
0.0,0.024999999999999994,0.1,0.1,0.0
0.0,0.0888888888888889,0.1111111111111111,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1111111111111111,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.30000000000000004,0.0,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.1111111111111111,0.1,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.1,0.1,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.1,0.024999999999999994,0.1,0.0
0.0,0.0111111111111111,0.225,0.0,0.0
0.0,0.2111111111111111,0.0,0.0,0.0
0.0,0.225,0.0,0.0,0.0
0.0,0.125,0.0,0.1,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.2,0.0,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.2,0.0,0.0,0.0
0.0,0.024999999999999994,0.2,0.0,0.0
0.0,0.0,0.0111111111111111,0.1,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.0,0.0111111111111111,0.1,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.07500000000000001,0.125,0.0,0.0
0.0,0.024999999999999994,0.0,0.1,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.04166666666666666,0.1138888888888889,0.1111111111111111,0.0
0.0,0.2138888888888889,0.0111111111111111,0.1,0.0
0.0,0.024999999999999994,0.2,0.0,0.0
0.1,0.1361111111111111,0.1,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.07500000000000001,0.024999999999999994,0.1,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.225,0.1,0.0,0.0
0.0,0.1111111111111111,0.0,0.0,0.0
0.0,0.08611111111111111,0.125,0.0,0.0
0.0,0.06666666666666665,0.1,0.0,0.0
0.0,0.013888888888888895,0.2111111111111111,0.0,0.0
0.0,0.225,0.1,0.0,0.0
0.1,0.2,0.0,0.0,0.0
0.0,0.08611111111111111,0.125,0.0,0.0
0.0,0.1,0.013888888888888895,0.1111111111111111,0.0
0.0,0.225,0.0,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.1,0.2,0.0,0.0,0.0
0.0,0.0,0.0,0.1,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.1111111111111111,0.024999999999999994,0.1,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.024999999999999994,0.0,0.1,0.0
0.0,0.024999999999999994,0.2,0.0,0.0
0.1,0.125,0.0,0.0,0.0
0.0,0.225,0.1,0.0,0.0
0.1,0.125,0.0,0.0,0.0
0.0,0.0888888888888889,0.0111111111111111,0.1,0.0
0.1,0.0111111111111111,0.1,0.0,0.0
0.1111111111111111,0.07500000000000001,0.125,0.0,0.0
0.0,0.1,0.1,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.21111111111111114,0.125,0.0,0.0
0.0,0.225,0.0,0.0,0.0
0.0,0.013888888888888895,0.08611111111111111,0.125,0.0
0.1,0.04166666666666666,0.024999999999999994,0.1,0.0
0.0,0.05833333333333335,0.16666666666666666,0.0,0.0
0.0,0.1,0.024999999999999994,0.1,0.0
0.0,0.08611111111111111,0.125,0.0,0.0
0.0,0.024999999999999994,0.0,0.1,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.0,0.013888888888888895,0.1111111111111111,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.125,0.1,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.2111111111111111,0.0,0.0,0.0
0.0,0.1361111111111111,0.1,0.0,0.0
0.0,0.2,0.125,0.0,0.0
0.0,0.125,0.1,0.0,0.0
0.0,0.0,0.225,0.0,0.0
0.1,0.024999999999999994,0.1,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.125,0.0,0.0,0.0
0.1,0.225,0.0,0.0,0.0
0.0,0.0,0.125,0.1,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.125,0.0,0.0,0.0
0.125,0.0111111111111111,0.0,0.1,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.1138888888888889,0.0111111111111111,0.1,0.0
0.1,0.125,0.0,0.0,0.0
0.0,0.0111111111111111,0.0,0.1,0.0
0.1,0.1,0.0,0.0,0.0
0.0,0.2,0.0,0.0,0.0
0.0,0.08611111111111111,0.024999999999999994,0.1,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.013888888888888895,0.0111111111111111,0.1,0.0
0.0,0.0,0.0,0.1,0.0
0.0,0.26666666666666666,0.0,0.0,0.0
0.0,0.125,0.1,0.0,0.0
0.0,0.0,0.125,0.1,0.0
0.0,0.024999999999999994,0.033333333333333354,0.16666666666666666,0.0
0.0,0.2,0.0,0.0,0.0
0.0,0.07500000000000001,0.013888888888888895,0.1111111111111111,0.0
0.1,0.0,0.0,0.0,0.0
0.0,0.024999999999999994,0.07500000000000001,0.125,0.0
0.0,0.125,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.1,0.0,0.1,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.06666666666666665,0.1,0.0,0.0
0.0,0.16666666666666666,0.1,0.0,0.0
0.0,0.1361111111111111,0.1,0.0,0.0
0.0,0.0111111111111111,0.0,0.1,0.0
0.0,0.024999999999999994,0.0,0.1,0.0
0.1,0.08611111111111111,0.125,0.0,0.0
0.0,0.0111111111111111,0.0,0.1,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.1,0.16666666666666666,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.2,0.0,0.0,0.0
0.1,0.125,0.1,0.0,0.0
0.0,0.013888888888888895,0.1111111111111111,0.0,0.0
0.0,0.1138888888888889,0.0111111111111111,0.1,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.2,0.0,0.0,0.0
0.0,0.2,0.0,0.0,0.0
0.0,0.013888888888888895,0.1111111111111111,0.0,0.0
0.0,0.0,0.1111111111111111,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.1361111111111111,0.0,0.1,0.0
0.0,0.0,0.0,0.1,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.0,0.0,0.1,0.0
0.0,0.013888888888888895,0.2111111111111111,0.0,0.0
0.1,0.1111111111111111,0.0,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.1,0.225,0.0,0.0,0.0
0.0,0.125,0.0,0.0,0.0
0.0,0.3111111111111111,0.0,0.0,0.0
0.0,0.14166666666666666,0.024999999999999994,0.1,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.225,0.0,0.0,0.0
0.0,0.04166666666666666,0.125,0.1,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.125,0.0,0.0,0.0
0.0,0.1,0.1,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.1,0.125,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.0,0.125,0.1,0.0
0.0,0.11111111111111113,0.225,0.0,0.0
0.0,0.125,0.1111111111111111,0.0,0.0
0.0,0.05833333333333335,0.05555555555555555,0.1111111111111111,0.0
0.0,0.1,0.1,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.17500000000000004,0.013888888888888895,0.1111111111111111,0.0
0.1,0.2111111111111111,0.0,0.0,0.0
0.0,0.0,0.024999999999999994,0.1,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.1,0.1,0.0,0.0
0.0,0.1,0.1,0.0,0.0
0.0,0.07500000000000001,0.024999999999999994,0.1,0.0
0.1,0.0,0.0,0.0,0.0
0.1,0.2111111111111111,0.0,0.0,0.0
0.0,0.225,0.0,0.0,0.0
0.0,0.125,0.1,0.0,0.0
0.0,0.30000000000000004,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.225,0.0,0.0,0.0
0.0,0.2111111111111111,0.0,0.0,0.0
0.0,0.024999999999999994,0.0,0.1,0.0
0.0,0.08611111111111111,0.225,0.0,0.0
0.0,0.1,0.1,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.2,0.0,0.0
0.0,0.08611111111111111,0.024999999999999994,0.1,0.0
0.0,0.0,0.0,0.1,0.0
0.0,0.0,0.0,0.1,0.0
0.1,0.1,0.1,0.0,0.0
0.0,0.125,0.0,0.1,0.0
0.0,0.125,0.1,0.0,0.0
0.0,0.1111111111111111,0.0,0.0,0.0
0.0,0.21111111111111114,0.024999999999999994,0.1,0.0
0.0,0.1111111111111111,0.0,0.0,0.0
0.0,0.08611111111111111,0.125,0.0,0.0
0.0,0.024999999999999994,0.0,0.1,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.16666666666666666,0.1,0.0,0.0
0.0,0.1,0.024999999999999994,0.1,0.0
0.0,0.20000000000000004,0.1,0.0,0.0
0.0,0.17500000000000004,0.125,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.225,0.0,0.0,0.0
0.0,0.125,0.0,0.0,0.0
0.1,0.125,0.0,0.0,0.0
0.0,0.07500000000000001,0.125,0.0,0.0
0.0,0.125,0.0,0.1,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.024999999999999994,0.0,0.1,0.0
0.0,0.125,0.1,0.0,0.0
0.0,0.14166666666666666,0.125,0.0,0.0
0.0,0.0,0.0,0.1,0.0
0.0,0.225,0.0,0.1,0.0
0.0,0.225,0.0,0.0,0.0
0.0,0.125,0.1,0.0,0.0
0.0,0.0,0.0,0.1,0.0
0.0,0.0,0.0,0.1,0.0
0.1,0.125,0.1,0.0,0.0
0.0,0.2,0.024999999999999994,0.1,0.0
0.1,0.0,0.125,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.1111111111111111,0.1,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.013888888888888895,0.0111111111111111,0.1,0.0
0.0,0.013888888888888895,0.0111111111111111,0.1,0.0
0.0,0.26666666666666666,0.0,0.0,0.0
0.0,0.1333333333333334,0.05555555555555555,0.1111111111111111,0.0
0.0,0.0111111111111111,0.0,0.1,0.0
0.0,0.125,0.0,0.1,0.0
0.0,0.125,0.0,0.1,0.0
0.1,0.024999999999999994,0.0,0.1,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.013888888888888895,0.1111111111111111,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.1111111111111111,0.0,0.0,0.0
0.0,0.0,0.125,0.0,0.0
0.0,0.225,0.1,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.1138888888888889,0.1111111111111111,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.125,0.1111111111111111,0.0,0.0
0.0,0.1,0.1,0.0,0.0
0.0,0.125,0.0,0.0,0.0
0.0,0.125,0.1,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.0888888888888889,0.0111111111111111,0.1,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.024999999999999994,0.0,0.1,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.225,0.0,0.0,0.0
0.0,0.125,0.0,0.1,0.0
0.0,0.07500000000000001,0.024999999999999994,0.1,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.013888888888888895,0.0111111111111111,0.1,0.0
0.0,0.1,0.125,0.0,0.0
0.0,0.2,0.0,0.0,0.0
0.0,0.16666666666666666,0.0,0.1,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.225,0.0,0.0,0.0
0.1,0.1,0.0,0.0,0.0
0.0,0.0,0.225,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.1,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.1,0.1,0.0,0.0
0.0,0.2,0.0,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.013888888888888895,0.0,0.1111111111111111,0.0
0.0,0.013888888888888895,0.1111111111111111,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.1,0.013888888888888895,0.0111111111111111,0.1,0.0
0.1,0.1,0.0,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.1,0.024999999999999994,0.1,0.0
0.0,0.1,0.0,0.1,0.0
0.0,0.2,0.0,0.0,0.0
0.0,0.1111111111111111,0.024999999999999994,0.1,0.0
0.0,0.013888888888888895,0.2111111111111111,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.1,0.024999999999999994,0.1,0.0,0.0
0.0,0.1111111111111111,0.0,0.0,0.0
0.0,0.1111111111111111,0.1,0.16666666666666666,0.0
0.0,0.024999999999999994,0.0,0.1,0.0
0.0,0.0,0.1138888888888889,0.1111111111111111,0.0
0.0,0.0,0.1,0.0,0.0
0.1,0.013888888888888895,0.1111111111111111,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.0111111111111111,0.0,0.1,0.0
0.0,0.07500000000000001,0.024999999999999994,0.1,0.0
0.0,0.1,0.0,0.0,0.0
0.1,0.125,0.1,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.024999999999999994,0.0,0.1,0.0
0.0,0.30000000000000004,0.0,0.0,0.0
0.0,0.225,0.0,0.0,0.0
0.0,0.125,0.1,0.0,0.0
0.1,0.33611111111111114,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.0,0.1111111111111111,0.0,0.0
0.0,0.1,0.1,0.0,0.0
0.0,0.0111111111111111,0.0,0.1,0.0
0.0,0.125,0.1,0.0,0.0
0.0,0.16666666666666666,0.0,0.0,0.0
0.0,0.024999999999999994,0.0,0.1,0.0
0.0,0.07500000000000001,0.024999999999999994,0.1,0.0
0.1111111111111111,0.024999999999999994,0.1,0.0,0.0
0.0,0.225,0.1,0.0,0.0
0.0,0.125,0.0,0.1,0.0
0.0,0.1,0.1,0.0,0.0
0.1,0.1,0.013888888888888895,0.1111111111111111,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.4361111111111111,0.0,0.0,0.0
0.0,0.024999999999999994,0.0,0.1,0.0
0.0,0.08611111111111111,0.024999999999999994,0.1,0.0
0.0,0.15555555555555556,0.1111111111111111,0.0,0.0
0.0,0.1138888888888889,0.0111111111111111,0.1,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.013888888888888895,0.1111111111111111,0.0,0.0
0.0,0.06666666666666665,0.1,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.125,0.0,0.0
0.0,0.1138888888888889,0.2111111111111111,0.0,0.0
0.0,0.07500000000000001,0.0,0.125,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.3111111111111111,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.0,0.0,0.1,0.0
0.0,0.033333333333333354,0.16666666666666666,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.013888888888888895,0.1111111111111111,0.0,0.0
0.0,0.036111111111111094,0.1,0.1,0.0
0.0,0.1,0.1111111111111111,0.0,0.0
0.1,0.0111111111111111,0.1,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.325,0.0,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.0,0.225,0.0,0.0
0.0,0.1138888888888889,0.0111111111111111,0.1,0.0
0.0,0.04444444444444445,0.06666666666666665,0.1,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.42500000000000004,0.0,0.0,0.0
0.0,0.0,0.024999999999999994,0.1,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.1,0.0,0.1,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.013888888888888895,0.0111111111111111,0.1,0.0
0.1,0.0111111111111111,0.1,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.13611111111111113,0.2,0.0,0.0
0.0,0.0111111111111111,0.0,0.1,0.0
0.0,0.125,0.0,0.1,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.1,0.024999999999999994,0.1,0.0,0.0
0.0,0.1111111111111111,0.1,0.0,0.0
0.0,0.1111111111111111,0.1,0.0,0.0
0.0,0.225,0.0,0.0,0.0
0.0,0.0,0.0,0.1,0.0
0.0,0.06666666666666665,0.1,0.0,0.0
0.0,0.04166666666666666,0.024999999999999994,0.1,0.0
0.0,0.0,0.1,0.0,0.0
0.1111111111111111,0.1,0.0,0.0,0.0
0.0,0.2,0.0,0.0,0.0
0.0,0.05833333333333335,0.26666666666666666,0.0,0.0
0.0,0.18888888888888894,0.1111111111111111,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.013888888888888895,0.0111111111111111,0.1,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.1,0.1,0.0,0.0
0.0,0.04444444444444445,0.16666666666666666,0.0,0.0
0.0,0.024999999999999994,0.0,0.1,0.0
0.0,0.225,0.1,0.0,0.0
0.0,0.1,0.013888888888888895,0.1111111111111111,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.1,0.024999999999999994,0.1,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.0,0.125,0.1,0.0
0.0,0.0888888888888889,0.1111111111111111,0.125,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.2111111111111111,0.0,0.0,0.0
0.0,0.11111111111111113,0.225,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.2111111111111111,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.1138888888888889,0.0,0.1111111111111111,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.2138888888888889,0.1111111111111111,0.0,0.0
0.0,0.0,0.0,0.1,0.0
0.0,0.1,0.125,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.1,0.0,0.0111111111111111,0.1,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.1,0.024999999999999994,0.1,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.0111111111111111,0.0,0.1,0.0
0.0,0.125,0.0,0.0,0.0
0.0,0.1,0.1,0.0,0.0
0.0,0.06666666666666665,0.1,0.0,0.0
0.1,0.225,0.1,0.0,0.0
0.0,0.125,0.0,0.1,0.0
0.0,0.024999999999999994,0.0,0.1,0.0
0.0,0.024999999999999994,0.2,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.1,0.125,0.0,0.0,0.0
0.1111111111111111,0.0,0.0,0.0,0.0
0.1,0.125,0.0,0.0,0.0
0.0,0.013888888888888895,0.1111111111111111,0.0,0.0
0.0,0.0,0.024999999999999994,0.1,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.1,0.125,0.0,0.0
0.0,0.0,0.225,0.0,0.0
0.0,0.013888888888888895,0.0111111111111111,0.1,0.0
0.0,0.15555555555555556,0.0111111111111111,0.1,0.0
0.0,0.1361111111111111,0.1,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.325,0.0,0.0,0.0
0.0,0.125,0.1,0.0,0.0
0.0,0.07500000000000001,0.125,0.0,0.0
0.0,0.024999999999999994,0.0,0.1,0.0
0.0,0.07500000000000001,0.013888888888888895,0.1111111111111111,0.0
0.0,0.1,0.024999999999999994,0.1,0.0
0.0,0.1111111111111111,0.0,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.024999999999999994,0.0,0.1,0.0
0.1,0.013888888888888895,0.1111111111111111,0.0,0.0
0.0,0.024999999999999994,0.1,0.0,0.0
0.0,0.2,0.0,0.0,0.0
0.0,0.21111111111111114,0.024999999999999994,0.1,0.0
0.1,0.07500000000000001,0.125,0.0,0.0
0.0,0.125,0.0,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.1111111111111111,0.1,0.0,0.0
0.1,0.1,0.0,0.0,0.0
0.0,0.1,0.0,0.125,0.0
0.1111111111111111,0.1,0.0,0.0,0.0
0.0,0.024999999999999994,0.2,0.0,0.0
0.0,0.08611111111111111,0.125,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.125,0.1,0.0,0.0
0.0,0.1361111111111111,0.0,0.1,0.0
0.0,0.2,0.0,0.0,0.0
0.0,0.07500000000000001,0.013888888888888895,0.1111111111111111,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.06666666666666665,0.0,0.1,0.0
0.0,0.0,0.024999999999999994,0.2,0.0
0.1,0.1,0.0,0.0,0.0
0.0,0.1,0.16666666666666666,0.0,0.0
0.0,0.225,0.1,0.0,0.0
0.1,0.1,0.0,0.0,0.0
0.0,0.16666666666666666,0.1,0.0,0.0
0.0,0.06666666666666665,0.0,0.1,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.23611111111111113,0.1,0.0,0.0
0.0,0.0,0.0,0.1,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.125,0.1,0.0,0.0
0.0,0.1111111111111111,0.1,0.0,0.0
0.0,0.06944444444444445,0.06666666666666665,0.1,0.0
0.0,0.07500000000000001,0.125,0.0,0.0
0.0,0.1111111111111111,0.1,0.0,0.0
0.0,0.225,0.0,0.0,0.0
0.1,0.06666666666666665,0.1,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.013888888888888895,0.1111111111111111,0.0,0.0
0.0,0.0111111111111111,0.1,0.0,0.0
0.0,0.1,0.024999999999999994,0.1,0.0
0.0,0.0,0.2,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.07500000000000001,0.125,0.0,0.0
0.0,0.024999999999999994,0.0,0.1,0.0
0.0,0.04166666666666666,0.024999999999999994,0.1,0.0
0.0,0.05833333333333335,0.05555555555555555,0.1111111111111111,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.07500000000000001,0.024999999999999994,0.1,0.0
0.0,0.14166666666666666,0.024999999999999994,0.1,0.0
0.1,0.1138888888888889,0.1111111111111111,0.0,0.0
0.0,0.0,0.1111111111111111,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.05555555555555555,0.1111111111111111,0.0,0.0
0.0,0.125,0.1111111111111111,0.0,0.0
0.0,0.225,0.0,0.0,0.0
0.1,0.1111111111111111,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.125,0.2111111111111111,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.2,0.0,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.1,0.1,0.0,0.0,0.0
0.0,0.0,0.1,0.0,0.0
0.0,0.1,0.0,0.0,0.0
0.0,0.125,0.1,0.0,0.0
0.0,0.1111111111111111,0.0,0.0,0.0
0.0,0.14166666666666666,0.024999999999999994,0.1,0.0
0.0,0.1,0.0,0.0,0.0
0.1,0.125,0.0,0.0,0.0
0.0,0.125,0.0,0.0,0.0
